auc,ap,brier,ece,acc,bacc,f1,prec,rec,mcc,fold,model,n_test
0.9915865384615385,0.9519230769230769,0.017412300629972226,0.021466446045861474,0.9833333333333333,0.9375,0.9333333333333333,1.0,0.875,0.926547659884658,0,LR(isotonic),60
0.9877641824249166,0.9886808195022255,0.052948870753135334,0.06289551806116393,0.9333333333333333,0.9343715239154616,0.9333333333333333,0.9655172413793104,0.9032258064516129,0.8687430478309233,1,LR(isotonic),60
0.9788888888888889,0.9583949109280879,0.053794375456564444,0.10399636787811492,0.95,0.95,0.9523809523809523,0.9090909090909091,1.0,0.9045340337332909,2,LR(isotonic),60
0.9924768518518517,0.9948766146134567,0.03795390641188592,0.02901876168381575,0.9333333333333333,0.9305555555555556,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.8611111111111112,3,LR(isotonic),60
0.9663299663299664,0.9605365546301219,0.09395701782246396,0.10325675836211244,0.8666666666666667,0.8552188552188552,0.8333333333333334,0.9523809523809523,0.7407407407407407,0.7410080177880776,4,LR(isotonic),60
0.9915865384615385,0.9583333333333333,0.018143369516569,0.03761474725406494,0.9833333333333333,0.9375,0.9333333333333333,1.0,0.875,0.926547659884658,0,RF(isotonic),60
0.9888765294771968,0.989024481471645,0.06992293032515409,0.10954733693218889,0.8666666666666667,0.8698553948832035,0.8571428571428571,0.96,0.7741935483870968,0.7497867698369114,1,RF(isotonic),60
0.9855555555555555,0.9843101460055483,0.048287799591252296,0.06753788512917995,0.9333333333333333,0.9333333333333333,0.9375,0.8823529411764706,1.0,0.8744746321952062,2,RF(isotonic),60
0.9797453703703703,0.9847516000533242,0.051540993304670026,0.05902359825102883,0.9333333333333333,0.9236111111111112,0.9459459459459459,0.9210526315789473,0.9722222222222222,0.8612933044554801,3,RF(isotonic),60
0.9349046015712683,0.9196967507154571,0.10030396246752023,0.10713870876050484,0.8833333333333333,0.8771043771043772,0.8627450980392157,0.9166666666666666,0.8148148148148148,0.7659026105380703,4,RF(isotonic),60
