repeat,fold,r2,p_perm
0,0,0.09955029795098225,0.00796812749003984
0,1,-0.06974228641813873,0.20318725099601595
0,2,-0.027568228893546376,0.3386454183266932
0,3,-0.023362671356217612,0.10756972111553785
0,4,0.016502450832206694,0.11952191235059761
1,0,0.0065643796424254,0.01593625498007968
1,1,-0.23915961715792688,0.5577689243027888
1,2,0.055649685035504604,0.02390438247011952
1,3,0.04767826968734845,0.035856573705179286
1,4,0.004368809102826221,0.14342629482071714
2,0,-0.016423655256887937,0.199203187250996
2,1,0.012433666970136703,0.0796812749003984
2,2,0.10346354207269748,0.00398406374501992
2,3,-0.007784788693805833,0.250996015936255
2,4,-0.17204222913600864,0.12350597609561753
3,0,-0.13606894667972136,0.12749003984063745
3,1,-0.02572137761774118,0.055776892430278883
3,2,0.0454785345387726,0.02390438247011952
3,3,-0.03248885831062864,0.12749003984063745
3,4,3.533269234279324e-05,0.13545816733067728
4,0,0.12373320972662094,0.00398406374501992
4,1,-0.03221846843130827,0.16334661354581673
4,2,0.06257772661951277,0.027888446215139442
4,3,-0.016231359338526596,0.02390438247011952
4,4,-0.2361949528891616,0.7649402390438247
5,0,0.06480502590205672,0.043824701195219126
5,1,0.002700449780855152,0.17928286852589642
5,2,-0.015832012516516558,0.15139442231075698
5,3,-0.04926712475160078,0.15139442231075698
5,4,-0.07644880028342471,0.2948207171314741
6,0,0.034691915986880595,0.03187250996015936
6,1,0.027219053336724586,0.08764940239043825
6,2,0.027801914708703857,0.06374501992031872
6,3,-0.019039939155883312,0.250996015936255
6,4,0.07193399909766807,0.0199203187250996
7,0,0.08462317793258356,0.0199203187250996
7,1,0.07201326200596048,0.027888446215139442
7,2,-0.08475355714577848,0.24701195219123506
7,3,0.02117027893250123,0.00796812749003984
7,4,-0.0891304910445554,0.20717131474103587
8,0,0.032545273390520046,0.099601593625498
8,1,0.04573412720909864,0.02390438247011952
8,2,0.056529203395747296,0.06374501992031872
8,3,-0.1167830094071689,0.4063745019920319
8,4,-0.0444125926436123,0.2948207171314741
9,0,-0.06484934882626225,0.3346613545816733
9,1,-0.08236202969499318,0.17131474103585656
9,2,0.03576506687343195,0.05976095617529881
9,3,-0.09168167378744307,0.46215139442231074
9,4,0.06286231005234721,0.027888446215139442
10,0,-0.0010608269309988483,0.13545816733067728
10,1,-0.00538042823618734,0.04780876494023904
10,2,0.07510360647904124,0.02390438247011952
10,3,0.03275760650890913,0.05976095617529881
10,4,-0.10534372556012972,0.6294820717131474
11,0,-0.05095803538165611,0.29880478087649404
11,1,-0.040592540347136996,0.3187250996015936
11,2,0.00023920469859162186,0.19123505976095617
11,3,-0.05937369745698384,0.035856573705179286
11,4,0.05665957124290388,0.04780876494023904
12,0,-0.11129260428496313,0.40239043824701193
12,1,-0.09250643779273515,0.32669322709163345
12,2,0.04912676763220414,0.01593625498007968
12,3,0.06869304517742925,0.02390438247011952
12,4,0.12330452460293628,0.00398406374501992
13,0,0.029970702632628132,0.08366533864541832
13,1,0.08954847080128991,0.00796812749003984
13,2,-0.030013937480086073,0.12350597609561753
13,3,0.03771603882172925,0.01593625498007968
13,4,-0.033695578357873845,0.17131474103585656
14,0,-0.0147565672225769,0.11553784860557768
14,1,0.057336611771371615,0.00398406374501992
14,2,-0.07436011162201028,0.24302788844621515
14,3,0.08811689051479143,0.00398406374501992
14,4,-0.013976104361660635,0.1394422310756972
15,0,-0.02063981960049177,0.15139442231075698
15,1,0.047802626397827175,0.05976095617529881
15,2,-0.1254593319769659,0.4860557768924303
15,3,0.10494983067735231,0.00398406374501992
15,4,0.07441480538104928,0.01195219123505976
16,0,0.0576473730191599,0.02390438247011952
16,1,-0.16825970136707857,0.43824701195219123
16,2,0.04793495503985934,0.01195219123505976
16,3,0.10589459125657286,0.00398406374501992
16,4,0.0011582982086850713,0.22310756972111553
17,0,-0.0343969365008614,0.22310756972111553
17,1,0.13916480165077882,0.00796812749003984
