type,level,auc,ap,brier,ece,acc,bacc,f1,prec,rec,mcc
vis_bias,-0.2,0.9600243506493507,0.9564705215853839,0.1488052195731187,0.17874504671588043,0.81,0.7840909090909092,0.7246376811594203,1.0,0.5681818181818182,0.6513389472789296
vis_bias,-0.15,0.9629554473304472,0.9588589015151515,0.1094666306009438,0.1374388308206533,0.85,0.8295454545454546,0.7945205479452054,1.0,0.6590909090909091,0.7210037106924391
vis_bias,-0.1,0.9824810606060607,0.9811195881102635,0.07492455493514126,0.09664506389651197,0.9,0.8863636363636364,0.8717948717948718,1.0,0.7727272727272727,0.8097205585386296
vis_bias,-0.05,0.9908008658008658,0.9882267339183698,0.050826310538696344,0.05565779977579548,0.93,0.9204545454545454,0.9135802469135802,1.0,0.8409090909090909,0.864566219253764
vis_bias,0.05,0.9871031746031746,0.975557861219176,0.04482825440652147,0.05471365688324673,0.94,0.9423701298701299,0.9338235294117647,0.9071428571428571,0.9621212121212122,0.8803054435440063
vis_bias,0.1,0.9651199494949496,0.9228133079540156,0.07518951121690683,0.10250675719779447,0.9033333333333333,0.9120670995670996,0.8996539792387543,0.8280254777070064,0.9848484848484849,0.8190712798635617
vis_bias,0.15,0.9469246031746031,0.8828853259884307,0.11737490126287038,0.1575706462310005,0.8466666666666667,0.8622835497835497,0.8506493506493507,0.7443181818181818,0.9924242424242424,0.7303870091218984
vis_bias,0.2,0.8970508658008658,0.7925333916859562,0.1736502542265812,0.2142601287329115,0.7866666666666666,0.8095238095238095,0.8048780487804879,0.673469387755102,1.0,0.6456853885533215
vis_clip,0.0-1.0,0.9929202741702742,0.9912997851622654,0.03318169991759035,0.023610318036268285,0.9533333333333334,0.9510281385281385,0.9461538461538461,0.9609375,0.9318181818181818,0.9053281640297471
vis_clip,0.05-0.95,0.9924693362193362,0.9910711780642449,0.03430570874419473,0.022389655491941843,0.9466666666666667,0.9450757575757576,0.9389312977099237,0.9461538461538461,0.9318181818181818,0.8916807787942285
vis_clip,0.1-0.9,0.9916576479076479,0.9901669871831231,0.03742645872183412,0.03413773117592715,0.9433333333333334,0.9420995670995671,0.935361216730038,0.9389312977099237,0.9318181818181818,0.8849376885695542
vis_clip,0.2-0.8,0.9866522366522367,0.9756006739142735,0.04037139428526678,0.03169685805820553,0.9366666666666666,0.9361471861471862,0.9283018867924528,0.924812030075188,0.9318181818181818,0.8716068224340184
vis_clip,0.3-0.7,0.9761002886002886,0.9478151599267969,0.048986371244618444,0.04703349217312772,0.9433333333333334,0.9453463203463204,0.9372693726937269,0.9136690647482014,0.9621212121212122,0.8866436995019131
pose_quant,1,0.9927849927849929,0.9912356284201859,0.033451340198323305,0.02410520329023576,0.95,0.948051948051948,0.9425287356321839,0.9534883720930233,0.9318181818181818,0.8984772018084171
pose_quant,2,0.9927173520923521,0.99108370546844,0.03396049122773598,0.021147308181980733,0.9466666666666667,0.9442640692640693,0.9384615384615385,0.953125,0.9242424242424242,0.8917509570107047
pose_quant,5,0.9921987734487735,0.990375658678963,0.034810146443105476,0.02374192345948359,0.9466666666666667,0.9450757575757576,0.9389312977099237,0.9461538461538461,0.9318181818181818,0.8916807787942285
pose_quant,10,0.9918154761904763,0.9898706649934603,0.03632772328327808,0.020734324179940384,0.9433333333333334,0.9404761904761905,0.9343629343629344,0.952755905511811,0.9166666666666666,0.8850526934523869
pose_quant,15,0.9911390692640694,0.9893506611110933,0.03654779287114353,0.032364279034298886,0.9466666666666667,0.9450757575757576,0.9389312977099237,0.9461538461538461,0.9318181818181818,0.8916807787942285
