ablation,metric,mean,p2.5,p97.5,n,tag
Geometry-only,auc,0.8163166773313832,0.8131918378893255,0.8192477686619845,1000,ablation_lr
Geometry-only,ap,0.7478970028599627,0.7434065049560902,0.7520567434027892,1000,ablation_lr
Geometry-only,brier,0.17679686079698195,0.17524032817372331,0.1784792272370109,1000,ablation_lr
Geometry-only,ece,0.15283829493691722,0.15080618711248928,0.15485612842978194,1000,ablation_lr
Geometry-only,bacc,0.7144068513186159,0.711026048951049,0.7176197329631154,1000,ablation_lr
Geometry-only,f1,0.6724810422838305,0.6677466155926927,0.6767712659009867,1000,ablation_lr
Visibility+Geometry,auc,0.9834713233389704,0.982600298024869,0.9842694934989665,1000,ablation_lr
Visibility+Geometry,ap,0.9798965360632536,0.9788278660201937,0.9808965587599718,1000,ablation_lr
Visibility+Geometry,brier,0.04996213787556036,0.04887144984334847,0.051148880893631815,1000,ablation_lr
Visibility+Geometry,ece,0.06923166270682941,0.06800958463392498,0.07048201210856454,1000,ablation_lr
Visibility+Geometry,bacc,0.9279534866005453,0.9260227567911391,0.9297899431722961,1000,ablation_lr
Visibility+Geometry,f1,0.919495194866192,0.9173048344638192,0.921556383032942,1000,ablation_lr
Visibility-only,auc,0.9867238041551767,0.9860632551317601,0.98735410582065,1000,ablation_lr
Visibility-only,ap,0.980139706368754,0.978956569879576,0.9812613771371793,1000,ablation_lr
Visibility-only,brier,0.04644582660178752,0.04543032682960396,0.04749667375663692,1000,ablation_lr
Visibility-only,ece,0.055382945161124034,0.0541741360311866,0.05666767176468463,1000,ablation_lr
Visibility-only,bacc,0.9177773473802885,0.9159895607660313,0.9195307705638587,1000,ablation_lr
Visibility-only,f1,0.9079676785377271,0.9059128451151747,0.9099212216230512,1000,ablation_lr
