model,metric,mean,p2.5,p97.5,n,tag
LR(isotonic),auc,0.9834713233389704,0.982600298024869,0.9842694934989665,1000,repeated_cv
LR(isotonic),ap,0.9798965360632536,0.9788278660201937,0.9808965587599718,1000,repeated_cv
LR(isotonic),brier,0.04996213787556036,0.04887144984334847,0.051148880893631815,1000,repeated_cv
LR(isotonic),ece,0.06923166270682941,0.06800958463392498,0.07048201210856454,1000,repeated_cv
LR(isotonic),acc,0.9301333333333333,0.9282495833333334,0.9318683333333332,1000,repeated_cv
LR(isotonic),bacc,0.9279534866005453,0.9260227567911391,0.9297899431722961,1000,repeated_cv
LR(isotonic),f1,0.919495194866192,0.9173048344638192,0.921556383032942,1000,repeated_cv
LR(isotonic),prec,0.9324414956791605,0.929575408825099,0.935220164218531,1000,repeated_cv
LR(isotonic),rec,0.9098133903133904,0.9065350427350428,0.9129877136752137,1000,repeated_cv
LR(isotonic),mcc,0.8600927540028566,0.856287022740546,0.8636284712572844,1000,repeated_cv
RF(isotonic),auc,0.9747110090345384,0.9734875806360487,0.9759022343215971,1000,repeated_cv
RF(isotonic),ap,0.9652728366388464,0.9633268591678632,0.967067108505679,1000,repeated_cv
RF(isotonic),brier,0.054910344598057444,0.0537308004075429,0.05615789389588051,1000,repeated_cv
RF(isotonic),ece,0.07679875269005448,0.07564670844248099,0.07798658194112566,1000,repeated_cv
RF(isotonic),acc,0.9274666666666666,0.9256166666666665,0.9292666666666667,1000,repeated_cv
RF(isotonic),bacc,0.9263633849810319,0.9244602437459054,0.9281777330240566,1000,repeated_cv
RF(isotonic),f1,0.9174553677329539,0.9153376619173008,0.9194826166531345,1000,repeated_cv
RF(isotonic),prec,0.9210716003820798,0.9179776789814575,0.9240524404661408,1000,repeated_cv
RF(isotonic),rec,0.9173034188034189,0.9140681980056982,0.9204465099715101,1000,repeated_cv
RF(isotonic),mcc,0.8552919504441927,0.851615844965558,0.8588769820786973,1000,repeated_cv
